"tissue_type","sample_id","expression"
"Adipose - Visceral (Omentum)","GTEX-132NY-1126-SM-5PNVE.1",381981.285645692
"Adipose - Subcutaneous","GTEX-ZPIC-1826-SM-57WFE.1",231130.473480191
"Adipose - Visceral (Omentum)","GTEX-11GS4-1026-SM-5N9DE.1",350548.665518978
"Adipose - Subcutaneous","GTEX-14BIL-0226-SM-5SI9E.1",200974.364379487
"Adipose - Visceral (Omentum)","GTEX-12WSG-0426-SM-5FQSE.1",648338.778999637
"Adipose - Subcutaneous","GTEX-146FR-1826-SM-5QGPF.1",313834.334633267
"Adipose - Visceral (Omentum)","GTEX-13U4I-1726-SM-5J1MF.1",608544.426097038
"Adipose - Visceral (Omentum)","GTEX-11DXY-0326-SM-5H12F.1",582264.694515687
"Adipose - Visceral (Omentum)","GTEX-131YS-1726-SM-5HL7G.1",498202.344564288
"Adipose - Subcutaneous","GTEX-11EQ8-0226-SM-5EQ5G.1",289639.180690721
"Adipose - Visceral (Omentum)","GTEX-ZLWG-0726-SM-5S2NG.1",189977.631779269
"Adipose - Visceral (Omentum)","GTEX-ZYW4-2226-SM-5GZYG.1",516764.454437925
"Adipose - Subcutaneous","GTEX-145MN-2626-SM-5NQAH.1",242431.694948998
"Adipose - Subcutaneous","GTEX-ZYFC-0326-SM-5NQ7H.1",100200.259986649
"Adipose - Visceral (Omentum)","GTEX-ZA64-0926-SM-5HL7H.1",96815.7491011722
"Adipose - Subcutaneous","GTEX-139TT-0226-SM-5K7YH.1",143718.745974306
"Adipose - Subcutaneous","GTEX-ZTPG-0226-SM-5O99I.1",314993.734555973
"Adipose - Visceral (Omentum)","GTEX-ZDYS-2226-SM-5S2MI.1",168148.122123458
"Adipose - Subcutaneous","GTEX-147F3-0626-SM-5NQ9I.1",109463.748257972
"Adipose - Visceral (Omentum)","GTEX-13S86-0926-SM-5SI6I.1",706121.397369685
"Adipose - Visceral (Omentum)","GTEX-ZAJG-1626-SM-5HL7I.1",703720.619751958
"Adipose - Visceral (Omentum)","GTEX-131XG-0126-SM-5K7UJ.1",407359.261731605
"Adipose - Subcutaneous","GTEX-117YX-2226-SM-5EGJJ.1",366780.264436871
"Adipose - Visceral (Omentum)","GTEX-132AR-0526-SM-5J2MJ.1",753364.016442399
"Adipose - Visceral (Omentum)","GTEX-ZZPU-0326-SM-5N9BJ.1",459356.591598449
"Adipose - Visceral (Omentum)","GTEX-14AS3-0426-SM-5QGQK.1",348042.487908278
"Adipose - Subcutaneous","GTEX-11TT1-2426-SM-5EQMK.1",100411.059972596
"Adipose - Visceral (Omentum)","GTEX-13QBU-1326-SM-5LU4K.1",144222.323718512
"Adipose - Visceral (Omentum)","GTEX-12WSL-1126-SM-5CVNK.1",373127.686235932
"Adipose - Subcutaneous","GTEX-1497J-2326-SM-5NQBK.1",216210.518919299
"Adipose - Subcutaneous","GTEX-YF7O-2426-SM-5IFJL.1",345559.73251824
"Adipose - Subcutaneous","GTEX-146FQ-0226-SM-5NQAL.1",313682.090198971
"Adipose - Visceral (Omentum)","GTEX-ZC5H-1626-SM-5HL7L.1",491831.500544566
"Adipose - Visceral (Omentum)","GTEX-ZTPG-2326-SM-57WFL.1",516869.854430899
"Adipose - Visceral (Omentum)","GTEX-14BIN-1226-SM-5S2OM.1",442890.770473949
"Adipose - Subcutaneous","GTEX-ZYWO-2526-SM-5GIDM.1",281699.04788673
"Adipose - Subcutaneous","GTEX-PLZ4-0226-SM-5SI7M.1",501949.899870007
"Adipose - Subcutaneous","GTEX-WHPG-2126-SM-4M1ZM.1",124090.925060605
"Adipose - Subcutaneous","GTEX-ZYY3-0226-SM-5E45M.1",221656.185222921
"Adipose - Subcutaneous","GTEX-ZP4G-2326-SM-57WEM.1",203457.119769525
"Adipose - Visceral (Omentum)","GTEX-11EM3-1126-SM-5A5KM.1",518614.809870124
"Adipose - Visceral (Omentum)","GTEX-13D11-0526-SM-5LZYM.1",645188.490320767
"Adipose - Visceral (Omentum)","GTEX-11WQK-1526-SM-5EGKN.1",568387.028774198
"Adipose - Subcutaneous","GTEX-ZEX8-2326-SM-5S2MN.1",255302.205202075
"Adipose - Visceral (Omentum)","GTEX-11TT1-1926-SM-5PNYN.1",152431.812060101
"Adipose - Subcutaneous","GTEX-UTHO-0426-SM-5SI7N.1",437023.504198433
"Adipose - Visceral (Omentum)","GTEX-1211K-1226-SM-5EQ4N.1",390389.862862898
"Adipose - Subcutaneous","GTEX-12696-2526-SM-5EQLN.1",235276.206537142
"Adipose - Visceral (Omentum)","GTEX-13OW6-2426-SM-5K7WO.1",733642.506646054
"Adipose - Subcutaneous","GTEX-12C56-1626-SM-5FQUO.1",442000.72608884
"Adipose - Visceral (Omentum)","GTEX-ZXES-0926-SM-5E43O.1",176076.543817119
"Adipose - Visceral (Omentum)","GTEX-13W3W-1126-SM-5L3DO.1",257082.293972291
"Adipose - Visceral (Omentum)","GTEX-11VI4-1226-SM-5EQMP.1",230205.295764091
"Adipose - Visceral (Omentum)","GTEX-13OVH-1126-SM-5K7YP.1",273103.092904238
"Adipose - Subcutaneous","GTEX-13W3W-2526-SM-5SI9P.1",147196.945742426
"Adipose - Visceral (Omentum)","GTEX-XLM4-1026-SM-4AT51.1",625349.869421119
"Adipose - Subcutaneous","GTEX-111YS-2426-SM-5GZZQ.1",128962.746958039
"Adipose - Visceral (Omentum)","GTEX-11OF3-0826-SM-5BC51.1",384276.663270444
"Adipose - Subcutaneous","GTEX-13N11-2626-SM-5K7UQ.1",564264.717937908
"Adipose - Visceral (Omentum)","GTEX-XAJ8-0226-SM-4GIB2.1",453173.125344014
"Adipose - Subcutaneous","GTEX-N7MS-0326-SM-4E3K2.1",178781.810303435
"Adipose - Subcutaneous","GTEX-11DXX-2326-SM-5Q5A2.1",271334.715244352
"Adipose - Subcutaneous","GTEX-11XUK-2126-SM-5EQLR.1",133588.635538535
"Adipose - Subcutaneous","GTEX-XXEK-2426-SM-4BRUS.1",229725.140240546
"Adipose - Subcutaneous","GTEX-XMK1-2226-SM-4B673.1",123107.191792854
"Adipose - Subcutaneous","GTEX-R55D-0326-SM-48FES.1",264776.493459345
"Adipose - Subcutaneous","GTEX-XUW1-0526-SM-4BOP3.1",313787.490191945
"Adipose - Subcutaneous","GTEX-11ILO-0226-SM-5N9D3.1",153825.434189415
"Adipose - Visceral (Omentum)","GTEX-12ZZX-1726-SM-5BC63.1",405696.284064692
"Adipose - Visceral (Omentum)","GTEX-13W46-1226-SM-5SIAS.1",796578.013561465
"Adipose - Subcutaneous","GTEX-POMQ-2326-SM-5S2VS.1",310285.868203164
"Adipose - Subcutaneous","GTEX-XUJ4-2526-SM-4BOO4.1",253486.983100868
"Adipose - Subcutaneous","GTEX-13FH7-2226-SM-5IJD4.1",138964.035180175
"Adipose - Subcutaneous","GTEX-11P82-1726-SM-5Q5AT.1",135310.1687571
"Adipose - Visceral (Omentum)","GTEX-12C56-0826-SM-5EGJ5.1",284907.892117252
"Adipose - Visceral (Omentum)","GTEX-1128S-0926-SM-5GZZU.1",763365.304664534
"Adipose - Subcutaneous","GTEX-13O1R-0226-SM-5K7U5.1",199147.431167949
"Adipose - Subcutaneous","GTEX-133LE-1926-SM-5N9FV.1",192835.142699879
"Adipose - Visceral (Omentum)","GTEX-13OW7-1126-SM-5K7V6.1",601049.315485601
"Adipose - Subcutaneous","GTEX-145MI-0426-SM-5O99V.1",449648.081134572
"Adipose - Subcutaneous","GTEX-13O61-2426-SM-5J1NV.1",215706.941175093
"Adipose - Subcutaneous","GTEX-11DXW-0326-SM-5H11W.1",294452.447036503
"Adipose - Visceral (Omentum)","GTEX-11LCK-0326-SM-5A5M7.1",301479.113234726
"Adipose - Subcutaneous","GTEX-11ONC-2526-SM-5986W.1",288854.536298586
"Adipose - Subcutaneous","GTEX-13G51-2626-SM-5LZYW.1",291723.758329527
"Adipose - Visceral (Omentum)","GTEX-XMK1-0926-SM-4B66X.1",213481.830212322
"Adipose - Subcutaneous","GTEX-W5X1-2626-SM-4LMI8.1",643525.512653855
"Adipose - Visceral (Omentum)","GTEX-131XH-0826-SM-5GCN8.1",248451.205658809
"Adipose - Subcutaneous","GTEX-O5YV-0226-SM-48TBY.1",286430.3364602
"Adipose - Subcutaneous","GTEX-XGQ4-2226-SM-4AT4Y.1",375024.886109452
"Adipose - Visceral (Omentum)","GTEX-1122O-0926-SM-5N9C9.1",283362.025553642
"Adipose - Visceral (Omentum)","GTEX-13PL6-0926-SM-5KLYY.1",720889.107496282
"Adipose - Visceral (Omentum)","GTEX-139D8-1626-SM-5IJFZ.1",1392778.92937029
"Adipose - Subcutaneous","GTEX-11TUW-2626-SM-5EQKZ.1",174718.055018796
"Adipose - Visceral (Omentum)","GTEX-11PRG-1526-SM-5HL6Z.1",482661.701155887
"Adipose - Visceral (Omentum)","GTEX-ZVE2-1826-SM-51MRZ.1",655775.334059422
"Adipose - Visceral (Omentum)","GTEX-14A6H-1026-SM-5SIAZ.1",348663.176755788
"Adipose - Subcutaneous","GTEX-ZPCL-2126-SM-57WFZ.1",453454.191991943
"Adipose - Visceral (Omentum)","GTEX-11NUK-2026-SM-5PNVZ.1",399711.906685873
"Adipose - Subcutaneous","GTEX-XBEC-0326-SM-4AT4M.1",358629.331646933
"Adipose - Subcutaneous","GTEX-NPJ8-0226-SM-48TBN.1",1057115.08508122
"Adipose - Subcutaneous","GTEX-XUZC-1826-SM-4BRVO.1",464802.257902072
"Adipose - Subcutaneous","GTEX-XV7Q-2626-SM-4BRVA.1",525641.476068346
"Adipose - Subcutaneous","GTEX-1ICG6-2626-SM-CGQG1.1",813055.545796296
"Adipose - Visceral (Omentum)","GTEX-1IY9M-1226-SM-ACKX1.1",693403.131550902
"Adipose - Subcutaneous","GTEX-1KWVE-1326-SM-E6CJ1.1",240335.406199862
"Adipose - Subcutaneous","GTEX-1MCYP-1826-SM-E9J2Q.1",85830.7276112847
"Adipose - Subcutaneous","GTEX-1MUQO-0526-SM-E9J31.1",414631.861246765
"Adipose - Visceral (Omentum)","GTEX-1PIGE-1226-SM-EVR3Q.1",296818.091323238
"Adipose - Subcutaneous","GTEX-1QP66-1326-SM-DTXDQ.1",490988.30060078
"Adipose - Visceral (Omentum)","GTEX-1QW4Y-0826-SM-DTXE1.1",460316.902645539
"Adipose - Subcutaneous","GTEX-1QW4Y-1626-SM-EAZ41.1",304969.024113176
"Adipose - Visceral (Omentum)","GTEX-1R7EV-1026-SM-DTX81.1",147782.501258944
"Adipose - Visceral (Omentum)","GTEX-1R9PO-0926-SM-E9U4Q.1",533675.29775498
"Adipose - Subcutaneous","GTEX-1RDX4-0226-SM-DTXG1.1",428591.504760567
"Adipose - Subcutaneous","GTEX-PLZ4-0226-SM-CYPR1.1",960978.580379205
"Adipose - Visceral (Omentum)","GTEX-YJ8A-1926-SM-EZ6LQ.1",359050.931618827
"Adipose - Visceral (Omentum)","GTEX-1POEN-1626-SM-EVYC2.1",257925.493916078
"Adipose - Subcutaneous","GTEX-1PWST-0326-SM-EAZ42.1",479663.656911312
"Adipose - Subcutaneous","GTEX-1QEPI-0226-SM-EWRMR.1",475646.746067994
"Adipose - Subcutaneous","GTEX-1RAZQ-0626-SM-E8VOR.1",323250.067338885
"Adipose - Visceral (Omentum)","GTEX-1RQEC-2526-SM-EVYD2.1",342128.377191442
"Adipose - Visceral (Omentum)","GTEX-1S5VW-2426-SM-EAZ52.1",1186042.69870826
"Adipose - Visceral (Omentum)","GTEX-1S5ZA-1026-SM-EWRO2.1",261602.782559814
"Adipose - Subcutaneous","GTEX-ZDYS-2126-SM-5S2P2.1",201056.342151799
"Adipose - Visceral (Omentum)","GTEX-ZF29-0826-SM-5S2O2.1",271486.959678647
"Adipose - Subcutaneous","GTEX-ZYT6-0326-SM-7LG5R.1",136118.235369895
"Adipose - Visceral (Omentum)","GTEX-1QCLY-1226-SM-EVYC3.1",194650.364801087
"Adipose - Subcutaneous","GTEX-1S831-0326-SM-EVYD3.1",238262.539671386
"Adipose - Subcutaneous","GTEX-OIZF-0226-SM-E9TI3.1",211889.119207392
"Adipose - Subcutaneous","GTEX-POMQ-2326-SM-DHXIS.1",382262.352293621
"Adipose - Subcutaneous","GTEX-QEG4-0326-SM-2S1OS.1",17426.1321715912
"Adipose - Subcutaneous","GTEX-QEG4-0326-SM-DIPE3.1",384393.774373748
"Adipose - Subcutaneous","GTEX-Y9LG-2026-SM-62LFS.1",267610.582159294
"Adipose - Visceral (Omentum)","GTEX-1R9K4-1426-SM-DPRY4.1",515886.121163147
"Adipose - Subcutaneous","GTEX-OIZG-0826-SM-E9TI4.1",199627.586691494
"Adipose - Subcutaneous","GTEX-RUSQ-1626-SM-EZ6L4.1",206127.25292485
"Adipose - Visceral (Omentum)","GTEX-ZLWG-0726-SM-5S2N4.1",244258.628160536
"Adipose - Visceral (Omentum)","GTEX-1QP6S-1626-SM-EVYC5.1",517958.987691623
"Adipose - Visceral (Omentum)","GTEX-1RNSC-1626-SM-EVR4U.1",327723.711485086
"Adipose - Subcutaneous","GTEX-UTHO-0426-SM-CE6QU.1",802878.590919205
"Adipose - Subcutaneous","GTEX-WFG7-2526-SM-EWRM5.1",150862.523275832
"Adipose - Subcutaneous","GTEX-1RAZR-0226-SM-EVYC6.1",279591.048027264
"Adipose - Subcutaneous","GTEX-1RQEC-0526-SM-E6CHV.1",126749.347105599
"Adipose - Subcutaneous","GTEX-1S82P-0226-SM-E6CI6.1",241202.028364309
"Adipose - Subcutaneous","GTEX-Q2AH-1726-SM-DIPDV.1",249786.272236471
"Adipose - Subcutaneous","GTEX-VUSH-0226-SM-EXUQV.1",132698.591153427
"Adipose - Subcutaneous","GTEX-ZLWG-2226-SM-DO92V.1",380857.019053976
"Adipose - Visceral (Omentum)","GTEX-XUZC-1126-SM-4BOPZ.1",495473.655857312
"Adipose - Subcutaneous","GTEX-1RAZA-0226-SM-E9U4W.1",181686.165665367
"Adipose - Subcutaneous","GTEX-1S5ZU-0226-SM-E6CHW.1",372050.264085538
"Adipose - Subcutaneous","GTEX-1S83E-0226-SM-EVYCW.1",177575.565939407
"Adipose - Subcutaneous","GTEX-S4P3-1526-SM-E9J3W.1",116771.481104123
"Adipose - Visceral (Omentum)","GTEX-1RAZA-0926-SM-E6CQ8.1",549450.163369989
"Adipose - Visceral (Omentum)","GTEX-1RB15-1126-SM-E8VMX.1",751466.816568879
"Adipose - Visceral (Omentum)","GTEX-1RNTQ-0826-SM-E9TK8.1",222686.762931993
"Adipose - Subcutaneous","GTEX-WFG8-2326-SM-DIPDX.1",294944.313670379
"Adipose - Subcutaneous","GTEX-WYJK-0226-SM-EYYV8.1",237794.095258171
"Adipose - Subcutaneous","GTEX-PWN1-0226-SM-DKPO9.1",361358.02035391
"Adipose - Subcutaneous","GTEX-SNOS-1426-SM-32PLY.1",243485.694878731
"Adipose - Visceral (Omentum)","GTEX-Y3I4-0726-SM-E9J3Y.1",574593.917249294
"Adipose - Visceral (Omentum)","GTEX-ZYFC-1826-SM-5GZZA.1",202953.542025319
"Adipose - Visceral (Omentum)","GTEX-11DXZ-1426-SM-5H12A.1",352094.532082587
"Adipose - Visceral (Omentum)","GTEX-Y114-1326-SM-4TT9A.1",180960.076824884
"Adipose - Subcutaneous","GTEX-ZVZO-0226-SM-5A5LA.1",194509.831477122
"Adipose - Subcutaneous","GTEX-Z9EW-1826-SM-5CVMA.1",290915.691716731
"Adipose - Visceral (Omentum)","GTEX-Y9LG-1226-SM-4VBQA.1",637751.935260982
"Adipose - Subcutaneous","GTEX-X4EO-0426-SM-4QASA.1",342362.599398049
"Adipose - Subcutaneous","GTEX-Y5V5-2426-SM-5IFJA.1",307522.046165197
"Adipose - Visceral (Omentum)","GTEX-11ZTS-1326-SM-5EQMA.1",545292.719202707
"Adipose - Visceral (Omentum)","GTEX-13FHO-2026-SM-5J1OA.1",680661.443511459
"Adipose - Subcutaneous","GTEX-REY6-0326-SM-2TF5A.1",49725.3744627528
"Adipose - Subcutaneous","GTEX-QLQ7-1526-SM-2S1QA.1",105774.748503906
"Adipose - Subcutaneous","GTEX-UJHI-1626-SM-3DB9A.1",534541.919919427
"Adipose - Subcutaneous","GTEX-RWSA-0226-SM-2XCBA.1",81708.4167749944
"Adipose - Subcutaneous","GTEX-14753-0326-SM-5QGQB.1",73346.6839991099
"Adipose - Visceral (Omentum)","GTEX-13PVR-0526-SM-5S2OB.1",342854.466031924
"Adipose - Visceral (Omentum)","GTEX-XQ3S-2426-SM-4WAYB.1",800103.057770908
"Adipose - Subcutaneous","GTEX-1399U-2426-SM-5K7XB.1",201079.76437246
"Adipose - Subcutaneous","GTEX-139YR-2426-SM-5J1OB.1",321833.02298891
"Adipose - Subcutaneous","GTEX-QEG5-0326-SM-2S1PB.1",93501.5048776774
"Adipose - Visceral (Omentum)","GTEX-UPK5-1826-SM-3GAEB.1",337643.02193491
"Adipose - Subcutaneous","GTEX-11LCK-1126-SM-5A5KC.1",305168.112988792
"Adipose - Subcutaneous","GTEX-11TTK-0226-SM-5N9EC.1",348639.754535127
"Adipose - Visceral (Omentum)","GTEX-13X6I-1526-SM-5SIAC.1",563117.029125531
"Adipose - Subcutaneous","GTEX-12KS4-0426-SM-5EQMC.1",143144.901568118
"Adipose - Visceral (Omentum)","GTEX-YEC3-0926-SM-5Q5AC.1",189251.542938786
"Adipose - Visceral (Omentum)","GTEX-ZF3C-1026-SM-5S2OC.1",198444.764548127
"Adipose - Subcutaneous","GTEX-VJYA-1326-SM-3GIJC.1",104053.215285341
"Adipose - Subcutaneous","GTEX-PX3G-0226-SM-3NB2C.1",242010.094977105
"Adipose - Subcutaneous","GTEX-13FHP-0226-SM-5K7WD.1",189169.565166474
"Adipose - Visceral (Omentum)","GTEX-ZAB5-1126-SM-5Q5AD.1",412816.639145557
"Adipose - Subcutaneous","GTEX-ZVT4-0226-SM-51MSD.1",339341.132932813
"Adipose - Visceral (Omentum)","GTEX-ZVP2-0226-SM-57WBD.1",302978.135357013
"Adipose - Subcutaneous","GTEX-13OW8-1226-SM-5K7XD.1",167246.36662802
"Adipose - Subcutaneous","GTEX-11ZTS-0226-SM-5EQKD.1",285727.669840377
"Adipose - Subcutaneous","GTEX-11GS4-2626-SM-5A5LD.1",264366.604597782
"Adipose - Subcutaneous","GTEX-T5JC-0526-SM-5S2SD.1",514070.89906194
"Adipose - Subcutaneous","GTEX-T6MN-0226-SM-32PMD.1",400742.484394945
"Adipose - Subcutaneous","GTEX-UTHO-0426-SM-3GAED.1",223986.696178665
"Adipose - Subcutaneous","GTEX-S7SF-1826-SM-3K2AD.1",158451.322769912
"Adipose - Subcutaneous","GTEX-T8EM-1126-SM-3DB7D.1",463197.835786811
"Adipose - Subcutaneous","GTEX-WFG8-2326-SM-5S2UE.1",202496.808722435
"Adipose - Visceral (Omentum)","GTEX-1313W-1626-SM-5J1OE.1",342983.288245558
"Adipose - Subcutaneous","GTEX-ZF28-0226-SM-5S2OE.1",180608.743514973
"Adipose - Visceral (Omentum)","GTEX-145LV-1026-SM-5O9AE.1",360596.798182435
"Adipose - Visceral (Omentum)","GTEX-13VXU-1026-SM-5KLZE.1",984670.156577545
"Adipose - Visceral (Omentum)","GTEX-YECK-1426-SM-5IFHE.1",535385.119863214
"Adipose - Subcutaneous","GTEX-132AR-0226-SM-5IJBE.1",358605.909426273
"Adipose - Visceral (Omentum)","GTEX-12KS4-1526-SM-5EQ6E.1",294932.602560049
"Adipose - Subcutaneous","GTEX-QV31-1326-SM-2S1QE.1",141809.834990455
"Adipose - Subcutaneous","GTEX-RTLS-0226-SM-2TF5E.1",296501.891344318
"Adipose - Subcutaneous","GTEX-13NZB-2426-SM-5K7UF.1",239843.539565986
"Adipose - Subcutaneous","GTEX-11DZ1-0226-SM-5A5KF.1",340559.088407172
"Adipose - Visceral (Omentum)","GTEX-14E1K-0426-SM-5S2PF.1",379147.196945743
"Adipose - Subcutaneous","GTEX-ZV68-0226-SM-59HJF.1",270995.093044772
"Adipose - Visceral (Omentum)","GTEX-1339X-0726-SM-5L3FF.1",329983.955778847
"Adipose - Subcutaneous","GTEX-OOBK-0226-SM-2YUMF.1",110049.303774491
"Adipose - Subcutaneous","GTEX-U4B1-1726-SM-3DB9F.1",222417.407394395
"Adipose - Subcutaneous","GTEX-TMMY-0326-SM-33HBF.1",82411.0833948167
"Adipose - Subcutaneous","GTEX-ZYVF-0226-SM-5GIEG.1",120846.947499092
"Adipose - Subcutaneous","GTEX-13S7M-0226-SM-5S2UG.1",463256.391338463
"Adipose - Visceral (Omentum)","GTEX-ZF28-1426-SM-5S2OG.1",1293082.24712785
"Adipose - Subcutaneous","GTEX-13PVQ-0226-SM-5SIBG.1",138565.857428943
"Adipose - Subcutaneous","GTEX-139T4-0126-SM-5HL5G.1",386244.129805947
"Adipose - Subcutaneous","GTEX-131XF-2226-SM-5EQKG.1",188010.165243767
"Adipose - Subcutaneous","GTEX-13O3Q-2326-SM-5KM3G.1",91990.7716450596
"Adipose - Subcutaneous","GTEX-QMRM-1726-SM-2S1QG.1",62549.0402745084
"Adipose - Visceral (Omentum)","GTEX-1399T-1326-SM-5PNVH.1",598824.20452283
"Adipose - Visceral (Omentum)","GTEX-ZE7O-1526-SM-5J1NH.1",344728.243684784
"Adipose - Visceral (Omentum)","GTEX-11P81-0726-SM-5PNYH.1",317136.867746431
"Adipose - Subcutaneous","GTEX-14C39-2526-SM-5S2UH.1",289252.714049819
"Adipose - Subcutaneous","GTEX-13FHO-0326-SM-5IJBH.1",417852.416587616
"Adipose - Visceral (Omentum)","GTEX-13X6H-1726-SM-5Q5EH.1",339973.532890653
"Adipose - Subcutaneous","GTEX-131YS-0226-SM-5IJEH.1",239281.406270128
"Adipose - Subcutaneous","GTEX-13NZA-0126-SM-5K7UH.1",265701.671175444
"Adipose - Subcutaneous","GTEX-OIZH-0226-SM-2YUMH.1",370644.930845894
"Adipose - Visceral (Omentum)","GTEX-W5X1-1426-SM-3GIKH.1",71308.9508016255
"Adipose - Subcutaneous","GTEX-T2IS-0226-SM-32QPH.1",147571.701272998
"Adipose - Visceral (Omentum)","GTEX-146FH-2026-SM-5SI9I.1",707678.975043624
"Adipose - Subcutaneous","GTEX-12WSA-0326-SM-5BC6I.1",173898.27729567
"Adipose - Visceral (Omentum)","GTEX-13O21-3126-SM-5J1OI.1",169612.010914755
"Adipose - Visceral (Omentum)","GTEX-11EQ9-1126-SM-5987I.1",400508.262188338
"Adipose - Visceral (Omentum)","GTEX-13O3P-0926-SM-5IFFI.1",1056810.59621263
"Adipose - Subcutaneous","GTEX-ZXG5-0226-SM-59HJI.1",171204.721919685
"Adipose - Subcutaneous","GTEX-ZTX8-1526-SM-5N9GI.1",313670.379088641
"Adipose - Visceral (Omentum)","GTEX-1192X-1526-SM-5H11I.1",972256.379627352
"Adipose - Subcutaneous","GTEX-R55G-2426-SM-2TC5I.1",128833.924744405
"Adipose - Subcutaneous","GTEX-U412-0526-SM-3DB9I.1",96382.4380189485
"Adipose - Subcutaneous","GTEX-ZDXO-2426-SM-5S2NJ.1",104123.481947323
"Adipose - Subcutaneous","GTEX-OXRN-0226-SM-2I5EJ.1",478855.590298516
"Adipose - Subcutaneous","GTEX-S3XE-1626-SM-3K2AJ.1",230509.784632681
"Adipose - Visceral (Omentum)","GTEX-ZEX8-1226-SM-5S2OK.1",356462.776235815
"Adipose - Subcutaneous","GTEX-1399T-2726-SM-5K7XK.1",265432.315637845
"Adipose - Visceral (Omentum)","GTEX-12WSM-0626-SM-5GCOK.1",373057.41957395
"Adipose - Visceral (Omentum)","GTEX-ZXG5-1626-SM-59HJK.1",494349.389265596
"Adipose - Visceral (Omentum)","GTEX-13O3Q-1126-SM-5K7YK.1",735914.462050146
"Adipose - Visceral (Omentum)","GTEX-13VXT-0926-SM-5LU5K.1",442070.992750822
"Adipose - Subcutaneous","GTEX-ZTSS-2026-SM-5987K.1",271159.048589397
"Adipose - Subcutaneous","GTEX-P4PQ-0226-SM-2S1NK.1",111887.948096359
